width,height,mean,std
1410,970,0.45323522386947007,0.2545934053438866
1728,1175,0.42486473833032,0.2658275106287336
1644,1167,0.40348395622882605,0.23633171017334756
1576,1395,0.46442022672649996,0.27244365604084536
1492,1024,0.44082949392265264,0.24369953005844686
1936,1669,0.45287176222612596,0.26214496994261854
2518,2364,0.5133546075831728,0.2343097779672548
1484,1267,0.4764840471787591,0.2262308455071943
1466,1140,0.4806323589247579,0.25526189430657925
1778,1318,0.44092560040277906,0.24581333160009602
1940,1522,0.4274681558820478,0.2838902178382929
1640,1410,0.48365594018268104,0.21913543760968404
1426,1128,0.4491056906882395,0.24227535706001713
1790,1132,0.46232875506046617,0.2952200326564688
1542,1286,0.4705907507782872,0.2282353786287455
1522,1109,0.5296002204761047,0.2503946277440924
1496,1333,0.49140209517620037,0.2593107380158059
1696,1349,0.49325725513781327,0.24587556108424383
1458,1128,0.5048028356776558,0.22552340412969507
2110,1700,0.4505634978161884,0.22579848130510846
1678,1156,0.4573142888888836,0.2544800961580675
1658,1183,0.41838413012045306,0.2736309588277979
1924,1580,0.4576556684412232,0.25473561198955846
1912,1708,0.49565037860949995,0.25204688726767516
1272,1017,0.4526426413809002,0.2237542677158122
1854,1457,0.42580349150349134,0.27411309838318104
1886,1406,0.5125426971018899,0.24041658407662958
1296,1074,0.62446227697921,0.23727056353803558
1902,1595,0.47803355507196676,0.25060082627950536
1724,1476,0.5130868673968121,0.2427617580305193
1526,1195,0.4993102605135564,0.2160678961865288
1756,1484,0.5323212755252958,0.24597590423388108
1908,1476,0.4425998837207099,0.23651554173690684
1624,1375,0.41375634642571757,0.23457467606167137
1670,1344,0.46505356234310075,0.2863455569745483
1550,1059,0.5270680071839876,0.24544730270060913
1626,1600,0.5112718809541034,0.23403136093695234
1940,1503,0.4748517102309094,0.25013669235776564
1882,1353,0.45058478952608505,0.263400524516443
2358,1673,0.5373596786832596,0.2678559578621691
1940,1755,0.4680226042777085,0.24239227079419934
1816,1554,0.5048036889478977,0.23797090534625906
1746,1445,0.4646720302488188,0.23572374100796062
2144,2129,0.46144187882734267,0.24065656003920027
1924,1623,0.4784788008121704,0.2500057594629843
1566,1225,0.4717191131880594,0.23482779477494423
1346,1024,0.5224569200590714,0.24629109899919946
1472,1360,0.5195244173436641,0.21334217257383825
2264,1900,0.5243753678521814,0.2548698006049608
1604,1117,0.4588143715526428,0.26286041061178944
1296,1082,0.4118380770075766,0.22392166799214142
1446,1171,0.49817156694257625,0.23547067311111294
2442,2226,0.4931166943930534,0.2050862589744417
1786,1437,0.49589437534932795,0.2446825791009064
2202,2129,0.47288980288413923,0.2575868103108151
2172,1963,0.5128184681696422,0.21870738070962512
1330,1133,0.4643797125855498,0.22259947912136807
1338,1433,0.4771964169493633,0.23094631020824397
1630,1353,0.5409386966281985,0.24586147374960415
1736,1553,0.5289426368141922,0.24056221138250972
1624,1341,0.4806842184532531,0.2298061523549546
1302,970,0.5069923431072904,0.23234992913912508
1632,1206,0.4454163725777112,0.23566305829087206
1796,1287,0.5356597345330474,0.24318642894268852
1902,1854,0.4639499464718164,0.24855054630556345
1376,1210,0.49178344271592944,0.22703680840886897
1296,1036,0.4672391111933596,0.23484192472686155
1944,1746,0.573746307336967,0.17797493139769455
1646,1476,0.5056379384940776,0.23465707119535792
1728,1522,0.4858769128788421,0.23874733216663094
1778,1356,0.4724785394147441,0.2659704841055697
1466,1175,0.4321274535415745,0.2499041313210484
2078,2047,0.4912193959603922,0.25301530587733306
1932,1712,0.5143061806193424,0.24314884252903324
1488,1017,0.46587037596781294,0.25136051498419115
1488,1094,0.4260037692417691,0.2700142641419195
1728,1333,0.6111736931373366,0.28903230502424926
1732,1662,0.4638920467595915,0.26661225667796107
2056,1673,0.5292852986073383,0.22102977284698397
1396,955,0.4540182356265088,0.2489679999579366
1626,1280,0.5118252022134192,0.22004157380078074
1300,928,0.494488964086961,0.23562020670885392
1924,2102,0.4593595286198965,0.24208105718635056
1812,1476,0.4292619891690413,0.1964344618466956
1394,1257,0.4803118324929281,0.24915595587226028
1350,1062,0.5445181082267602,0.24448155423116
1148,908,0.454711409652504,0.24375183716304338
2178,1970,0.4282041110179767,0.22283553629518932
1430,1141,0.43449354206481583,0.2724229779557861
1832,1488,0.526244883576993,0.24262025869935014
1640,1322,0.41911078275817903,0.27714742429737843
1460,1279,0.47312032823454236,0.25491674275878445
1792,1422,0.49428996238087364,0.2636610640960719
1724,1353,0.4852081433763949,0.23368331691043012
1550,1144,0.47719558082651065,0.21372295428219476
1580,1604,0.5612641438721387,0.2418125978746832
1518,1121,0.43060678814629777,0.2565318481900667
2180,1955,0.42048354940652893,0.22620364386311628
2292,1893,0.41641343333272085,0.22628255651670762
1852,1403,0.504219376843379,0.25025654704723416
1850,1445,0.4977374474413352,0.2472138209149575
1692,1341,0.476248105171097,0.2599930718639267
1858,1680,0.49356747489092545,0.23679427137867723
1518,1302,0.42525041013614556,0.2617839896829804
1750,1480,0.43111377394200906,0.2546856743102749
1622,1383,0.42956224127007003,0.2177534739311946
1642,1221,0.5152024261718328,0.24282349050121727
1832,1472,0.5067280548955392,0.2349730169327638
1252,1044,0.5158132923765517,0.2296897927851307
1744,1337,0.5064739969670565,0.2634039056548872
1524,1171,0.3595607589288441,0.18751019513819223
1754,1178,0.44938574721732855,0.23382357229686926
1874,1735,0.4830464557270196,0.2236456230646277
1690,1334,0.42615484634988454,0.23373932647923557
1802,1514,0.4790048022839329,0.2442876982122699
1858,1480,0.5191280334028695,0.23927791296076423
1728,1249,0.4422670216783449,0.23490564674793793
1766,1611,0.5083447598804118,0.22940101391672216
1512,1302,0.5161546398726753,0.22213845782912017
1554,1345,0.5424383209863202,0.24436743365602537
1840,1507,0.4474609933411064,0.27531279650433216
2344,1855,0.4585952062581745,0.27337329526041115
1470,1248,0.49817762788876224,0.231774579608847
1746,1442,0.44102385579950665,0.22841329563973595
2012,1457,0.5677401362211753,0.20674192922143805
1678,1229,0.523608481613783,0.22965266632685788
1514,1395,0.49658889463561384,0.22338449999600368
1598,1197,0.467267071947458,0.2509168604082472
1836,1719,0.4730776705140507,0.24491698963993588
1956,1634,0.5067104542918256,0.1928941450025862
1296,1052,0.5144275310344764,0.24043094401172918
1746,1279,0.5373420335304021,0.2446689351621387
1804,1510,0.46311746451565194,0.24152642818702647
1626,1268,0.4655845552239155,0.25310984792720975
1738,1430,0.48642222778687944,0.2626939740538107
1724,1422,0.4785639349314021,0.2649598815233595
1500,1051,0.5596384744065722,0.23304456578056496
1630,1333,0.4465058343257774,0.24453131568353356
1438,1067,0.4895928732285071,0.24179193228214102
1462,1140,0.438184096880166,0.219767935392384
1654,1688,0.4093371288927152,0.2643049164157069
1214,994,0.4012564484688924,0.20066696989293772
2048,1777,0.5485876895734028,0.2461041152054269
1800,1723,0.5392604604877999,0.2601030050850927
1330,1132,0.4933423899595175,0.21704288740315575
1798,1356,0.4362173837152108,0.2497777436160198
1538,1179,0.49613478182722054,0.26669952571867694
1608,1364,0.49746101410319465,0.23819010614488967
1630,1179,0.5103611713343915,0.2554742290431378
1126,1012,0.452625599344969,0.22804410606609618
1512,1237,0.5136799224016081,0.25532476511588126
1246,931,0.4669349973663538,0.22788313606585436
1476,1133,0.4555620394910836,0.22667460028917172
2194,1966,0.5809730101521574,0.23541007718701915
1284,1020,0.509208688606467,0.24067262087229785
1504,1395,0.5085725959719661,0.25607572127763595
1604,1279,0.5457483340201518,0.2212955950608793
1754,1638,0.44905040654587897,0.2299290922200517
1620,1159,0.530139157016677,0.25965405017306525
2480,1924,0.35814607027842343,0.2220897764190133
1790,1519,0.5740055820490026,0.22891909209860287
1680,1642,0.4844751652183406,0.23642109653382262
2134,1827,0.47059639462976927,0.267868421825571
